Gene	test_allele_count	test_gnomAD_allele_count_iCFgCFadjust	test_P_rvexcaliber_base_iCFgCFadjust
SLC7A1	3	3.68914167869836	0.654986128964295
DNAJB8	3	3.6895804526556	0.655093399974065
EEF2K	4	4.79712340821943	0.655295570566489
ZBTB48	3	3.6929477615121	0.655763469098865
KLF10	5	5.89415649376639	0.656026430792835
PLXNA1	7	8.06048821545102	0.65667297985473
ARHGEF4	4	4.80847585920926	0.65740587570773
PLA2G3	5	5.90370794084977	0.657562798469092
NSFL1C	3	3.70160060896123	0.657643841739443
OTOL1	5	5.88195319841743	0.657761698386958
AKAP9	25	26.9300880518894	0.658231592607114
EXOC4	5	5.91121659043357	0.658714930947152
FAM234A	6	6.99697038576701	0.658854436635579
RRNAD1	5	5.91158054169651	0.658943243968554
ZXDC	7	8.07993513272465	0.659618264202094
CPEB4	3	3.71256320752376	0.659976836048293
GLIPR1	3	3.69525526250263	0.660168135249901
FERMT2	7	8.08466934601626	0.660226955156598
CHRM2	7	8.08405271181061	0.660315762491346
GNAS	4	4.82488056511661	0.660493361620721
GAL3ST2	6	7.00997634592099	0.660738458694201
CAMKMT	3	3.69778327553321	0.660913493087708
ALPK2	21	22.9446427222373	0.661303563869794
AGFG2	5	5.92801251359919	0.661816015924538
STAT4	6	7.01721180882897	0.662088068875974
IGSF5	8	9.14587586486017	0.662127026476175
OR10AG1	7	8.10106446306671	0.662474790654306
PDGFA	3	3.72583218201538	0.662704529504817
SLC39A2	7	8.10191922836803	0.662794493275265
KRT83	17	18.7030916941344	0.663177911913786
HMCN1	33	35.5323878636113	0.663644481362437
HOOK3	3	3.73206277220825	0.664136318576009
EPB41L4B	7	8.1146354288772	0.664503321016632
SULF1	10	11.3268821919206	0.664536233388279
CACNA2D3	10	11.3304401627375	0.664707963919611
MTOR	10	11.298258690718	0.664970691078729
ZNF592	7	8.12008904874206	0.665022806260794
C10orf90	6	7.04129555477925	0.665595752411724
LINGO2	3	3.72034413236555	0.665673420242814
IL7R	5	5.9538368987731	0.665907221858694
FUT10	10	11.3435378097009	0.666390267247809
MRPS15	3	3.74770450125328	0.667294412772982
COL6A3	24	26.0037909505475	0.667451538506459
PRSS36	6	7.05639909368524	0.667724674794204
SORL1	26	28.1428389837426	0.667946740726842
BDP1	24	26.1577898835221	0.668323460272637
CMYA5	34	36.390597627318	0.668469516217386
UNC5C	10	11.3678445417865	0.669150848188482
CSGALNACT2	3	3.73767907886097	0.669337770530508
MMP19	10	11.3697216029011	0.669410304172421
ZNF77	38	40.9304470117226	0.669876782910087
FANCI	10	11.3766316354616	0.66990611064169
CYP2A6	9	10.3044623373826	0.670004282406342
CATSPERD	10	11.3774199542196	0.670113268109904
OR51B5	29	31.2853132885258	0.6707615917161
OR4X2	3	3.74847632477388	0.671729595170134
YRDC	3	3.7707210079643	0.672118899915631
TENM2	25	27.1645337292249	0.672653679211851
TBCK	4	4.89134968240487	0.672710642952706
TMPRSS6	5	5.99645427524973	0.672761617847191
FTSJ3	7	8.17607158046652	0.672929986672073
KTN1	6	7.09212257190522	0.672943231845117
ZSWIM1	10	11.369068356796	0.67321935941907
SERPINC1	10	11.4794258519073	0.673476402458083
PLEKHB1	3	3.78103219595953	0.674360385527238
SLC6A4	3	3.78233614215554	0.67449375589133
RIF1	8	9.27073418088757	0.674674660076349
SLC2A6	10	11.4125269943697	0.674755757805699
ANGPT1	3	3.78420936943455	0.674981839274092
UHRF1BP1	11	12.4942243456098	0.675950533093694
SPAG5	10	11.397583694637	0.676439439480165
HIP1R	6	7.11685247833692	0.676678147203497
LITAF	3	3.79347987560811	0.676818556750993
PFKP	10	11.4353175183856	0.67714081023518
SDC1	3	3.79794411935771	0.677181260888015
SPCS1	3	3.79546335890714	0.677187020437645
NEIL1	5	6.02543204218814	0.677522563553772
RELT	10	11.4467525099996	0.677991397142729
FUBP3	3	3.77826004459889	0.678119826656857
LAMA2	24	26.2511691454517	0.678398133556982
CACNA1D	10	11.4495724478414	0.678450314276833
PADI3	20	21.9714950732132	0.678869786181527
SCN10A	27	29.3309223870841	0.678924133511977
TEP1	28	30.4188264045833	0.679859744636458
ADAMTS1	7	8.22674083495096	0.679929282866789
ANXA9	3	3.81563121008036	0.681555024814307
CYP2A13	25	27.3813934155976	0.681574633484322
OR2K2	3	3.82108888307161	0.682655192636731
UGT2A1	30	32.5315593276538	0.682734115794742
TJAP1	5	6.25577386683903	0.68280169499216
CCDC180	23	25.3225927869337	0.683422834198
NOP2	5	6.0622381850196	0.68342513618631
CSMD1	26	28.5296838453227	0.683992016200998
MYCT1	20	22.0884729040466	0.684279456647935
RNF213	33	35.6598822079854	0.684632273500098
CYP1A1	8	9.51085838003575	0.684826677446108
VPS13C	28	30.4032831513302	0.685383844136409
CTNND1	5	6.0756149202422	0.685492202300739
SRRM2	34	37.1956912273193	0.686131332231306
GPD2	11	12.594884278087	0.686888172926024
NPHP4	21	23.1808607773346	0.687253569439071
SHPRH	5	6.09426432737648	0.688520046443004
ZNF662	6	7.19678561787639	0.688533096466434
MYLK	15	16.9113187309428	0.688659244266703
SREBF2	11	12.6137549545696	0.689096036712855
CSPG5	3	3.83103330104105	0.689397964559095
AGAP1	8	9.38368447915502	0.689449977207752
MYO7B	22	24.2512870261716	0.689533630879496
ABCA12	25	27.5553713597212	0.690966380658815
TLN2	24	26.4784934696494	0.69130324872697
WIPF1	12	13.7108575027476	0.691908506691558
VPS13B	31	33.9516545443015	0.691980387116648
PCDHB2	5	6.1255200788183	0.693449888748388
LHFPL2	3	3.85006033992543	0.693603057999107
ZNF516	4	5.01045322835351	0.694169654649847
NBAS	26	28.6547405054763	0.694666825057235
ARHGEF18	8	9.430652645599	0.69511551650018
TBC1D2	11	12.6760787404696	0.695446899475896
RC3H1	11	12.6914957939461	0.696963091059014
NCKAP5	6	7.45219927922471	0.696979811262342
MYBBP1A	26	28.6817085948572	0.699322663126835
GRP	20	22.2863621001618	0.700157181285775
LRRIQ1	8	9.4742714616527	0.700544058362029
IFT172	11	12.6856049170448	0.701140139250212
DMBT1	32	35.1709079521236	0.703565592998148
PIEZO2	4	5.07826180078266	0.705722768499503
SPTAN1	11	12.7955493171393	0.707883904376283
STAB2	20	22.4026081141411	0.709100511216878
HSPA2	8	10.0654181464219	0.710336469239392
SDR39U1	4	5.0786954899216	0.710759601068024
CELSR2	33	36.3553279622432	0.710976711993749
TCHH	54	58.2676863079703	0.711198588018756
CDH23	38	41.3802393532014	0.712276652032572
STARD6	22	24.5653362032701	0.712868817237206
MELTF	4	5.12392434898851	0.713509466514425
DNAH3	29	32.0873578463219	0.717394492082992
ERBB3	11	12.8603533696514	0.719788094337612
COBL	8	9.64100555405107	0.720752480517364
ABCA4	37	40.4898606227123	0.720865178122877
LEXM	4	5.17531927346621	0.722049583441386
PXDNL	23	25.8766300632202	0.722803287616751
MYO7A	10	11.8524272386937	0.722885735840183
PDCD11	29	32.1058169890879	0.725771746234462
NUMA1	29	32.1638550904536	0.726436739251456
MEGF6	8	9.68792840447268	0.726447356413955
SDK1	21	23.6232529909187	0.726758115527266
RUFY4	4	5.21091465802121	0.728071694363688
ABCC11	22	24.7995570694173	0.730013150115661
DROSHA	4	5.22921954830019	0.731229323835848
OR52E8	10	11.927290994639	0.731666126799096
GTF3C1	11	12.9814803784423	0.732606708992737
ZFHX4	14	16.9724988816809	0.733249273184816
DNAH8	29	32.6040722508043	0.735134757545806
TNKS1BP1	23	25.954829426401	0.736749744478332
BSN	34	37.7863170373925	0.73755033311569
PPFIA3	4	5.27511258519624	0.738613292289915
TRAPPC12	11	13.0628968023189	0.739817689236102
SLC22A10	12	15.6362927685359	0.740563147888639
FLNC	27	30.390362490462	0.741456715646512
ACACB	24	27.090817065891	0.742047008668491
SRCAP	23	26.0583534951746	0.744583181217103
TSPAN16	4	5.28971213412706	0.747059022343055
REXO1	24	27.1794332517403	0.748154027545053
ADAMTS7	29	32.5084980493225	0.75060922725479
LMF2	4	5.35866826073602	0.752047796780696
LRP2	30	33.6045884900691	0.753334524197571
PTPN13	25	28.2997503943322	0.753831528748672
CCNL2	28	31.6407811015014	0.75412181781745
SACS	33	36.8365047873865	0.754385581274899
CPNE1	4	5.33700724512405	0.754924676697262
GPNMB	4	5.38048395533015	0.755824483570387
A2M	6	7.69818214023709	0.756978638634558
COL18A1	21	24.4158616520462	0.757168534747788
MACF1	35	39.5140065614305	0.758340137694593
DNAJA4	31	35.333979642486	0.762987861304639
SLC24A4	14	16.8307693055034	0.763557996654391
CD22	39	43.4414526520354	0.766032400775554
DYSF	27	30.7897193224977	0.766097080024743
LAMA3	22	25.3143342441454	0.766310526602062
HMGCS2	12	14.5719923645224	0.766985360453324
CAMSAP3	4	5.45922759569061	0.767457236196064
CPED1	4	5.46186444669546	0.768227453692113
NCF1	12	14.5177953360357	0.769057808948718
TBC1D32	4	5.48179073997113	0.771417792363017
FNDC1	25	28.7540430124637	0.771582685800557
CBFA2T3	4	5.5190832718964	0.777151955777001
MADD	39	43.7804970033988	0.777315827045884
AGRN	27	30.8928259904425	0.777464335169807
ALMS1	29	33.1090121270972	0.777781968192892
OR2V2	36	40.3625676073625	0.77782688100838
CASKIN1	4	5.53526547870639	0.779204628101755
C1orf116	4	5.54034429675492	0.779886063077534
ZNF71	10	12.5297826950733	0.780208578869545
MAK	5	6.72715711206792	0.780842783646742
NR2C1	5	6.69617910376761	0.783697721047097
KIF26B	26	29.8914158176174	0.785102185449503
C20orf96	7	9.13126143701361	0.790827563268427
PCDHB13	5	6.81150320605946	0.792308685894127
NID2	32	36.4328643079229	0.793311820428772
ARHGEF15	4	5.64625360409535	0.795276154058271
STX18	27	31.3201722212454	0.795914053239891
CLHC1	3	4.85794324718043	0.796941401726004
BCL9	19	23.0339043422669	0.798847457904313
WHRN	3	4.40381838145488	0.79902129323416
LRRCC1	3	4.45623217295759	0.800077845510638
CCDC39	7	9.21585738223741	0.800203837712547
PRDM9	23	28.0588859908605	0.801047489294605
PCNT	37	42.3551977785287	0.802818653906715
VPS13D	31	35.5973535370148	0.805281582066812
CHRNB2	3	4.4897506362693	0.805370443508113
CYP2W1	3	4.4978097850167	0.806776229060874
TDRD9	3	4.5060411996137	0.807976407005093
YWHAB	6	8.13735473359639	0.809953430746171
RLN1	9	12.3914131431634	0.810728634428475
SCN11A	3	4.52630176753801	0.811189615932399
MRGPRX1	12	17.1429499925544	0.812128702587666
DNAH1	39	44.7143402632311	0.813094258899241
EAF1	3	4.54218914989394	0.81381606600077
FOLH1	3	4.56197605248214	0.816868408296297
ZNF546	4	5.75090208321744	0.817426582569815
SP100	14	17.3999373236786	0.82165243793942
FRMPD2	12	15.1503461103871	0.82178383712296
CIDEA	8	10.6162583396374	0.824662965148641
AOC3	3	4.62220939855058	0.825584223259323
LCTL	10	12.8961069773118	0.829248433257504
OR10V1	19	23.0356334701264	0.829509373948074
ATAT1	10	13.5428077165698	0.829665208910013
ULBP3	12	15.2610990668539	0.829979306225338
ARL9	6	8.33293886812044	0.830682881545691
ANK2	27	31.9564782875352	0.834707957407535
SNX27	3	4.68255004914824	0.834767198977401
OR10X1	9	12.7916008914551	0.837312880172142
MKRN1	10	13.7776628711475	0.84277483498319
HCN4	3	4.74549178257433	0.843454965027706
INF2	4	6.0119766328266	0.84349373075967
MYO15A	45	51.7370413383612	0.845542085492213
ZNF749	3	4.76527842216124	0.846361099291594
CEP170B	5	7.27616048473044	0.846670787633069
HADH	18	22.2544239099737	0.846917781463724
ABCC12	29	34.518566593444	0.84745886280966
MASP1	15	18.8141396030086	0.848533630273612
CECR2	3	4.78671933990698	0.849301687448895
KIF1A	5	7.30512902560212	0.849565945310626
OR2L8	11	14.3885937985536	0.849592690213604
ATP13A5	36	42.1739495780459	0.850123935851709
VIPAS39	12	15.5614059700071	0.851395148508014
P2RX7	4	6.55449570850883	0.8517859483564
MAP4K4	10	13.9445180256723	0.8533797116246
PLEKHH2	3	4.81942144719246	0.853622302952006
KANSL1	7	9.76835326640464	0.854288467897262
OR2C1	36	42.2404823334921	0.854709605741471
VWA3B	35	41.1782676223663	0.855217448760598
ZFYVE19	7	9.84107311865086	0.859743013263224
OR52N1	36	42.3844849648913	0.860289994236552
RFPL1	3	4.8914653257398	0.862841879538699
NRXN2	3	4.89443888517544	0.863141831636033
CAST	6	8.68075481984933	0.863954990565923
DPYD	7	10.1366370214855	0.865126154768164
PRSS55	8	11.1067875272287	0.865799577494019
TRIM62	11	14.7645019771437	0.866152530134126
CHGA	3	4.92260027506628	0.866461910927898
C7orf26	12	15.7927734385058	0.866851532804056
IDUA	3	4.93993863557838	0.869403213697013
TPSG1	21	26.0386549198733	0.870070637051253
SBSN	3	4.95897019844128	0.871200963900793
PNPLA7	8	11.2092165384045	0.874036895387457
REPS1	11	14.7630938733049	0.874328747643052
FRAS1	45	53.384194249006	0.874609393436787
SAXO2	7	10.0281697635294	0.875231923895685
GJB7	7	10.0709705258728	0.878921875533563
LBR	10	14.0187764023825	0.878945347037705
PABPC1	64	72.8657148417879	0.879103498520432
SPATA4	59	68.0870432820757	0.879536646932865
MTR	6	8.86549126224582	0.880146924443357
FBLN5	7	10.0949354005053	0.880171255982864
NEIL3	9	12.5166312285211	0.881766507216012
TUBA3D	10	13.7211583898832	0.882783828907833
NFKBIZ	3	5.01175824078978	0.885894824059796
GNRH2	4	6.40489738709641	0.886122958940643
CPNE2	3	5.10248343124276	0.887741340777768
CPA2	7	10.14438503106	0.89142436022838
ZFR2	4	6.46818499482787	0.891526459644194
CRB2	3	5.14196544896648	0.892207917436456
COL15A1	8	11.9020800947991	0.892619579761706
ADGRV1	55	63.7313698860951	0.893564066909731
GCNT2	7	10.7271051943715	0.894084984937749
MRPL39	5	7.79758202680124	0.89508427920658
NCOA6	6	9.10104995134656	0.89836005938809
FBXW10	18	23.610604506921	0.899136048738122
ZNF211	7	10.3831324239468	0.900657233139906
ANG	8	11.6302346326161	0.901683661082342
CCDC73	3	5.23508368822189	0.902041612625569
EXOC3L4	3	5.26062716320128	0.904539242244619
A2ML1	45	54.1589307222039	0.906815915204351
CATSPER2	9	12.9275001167615	0.907145797081711
SFN	5	9.02802275263427	0.910398937753721
ZNF324B	8	12.235783029558	0.910929568936997
C2orf16	21	27.6216261123611	0.911068410383173
MYF5	4	7.1324407439159	0.911279831547357
PRPS1L1	4	6.70099952905977	0.91143020117815
FAM81B	31	38.2533587814941	0.911837014707561
OR5H14	10	14.6566413339632	0.912200626349531
GJB4	31	38.2768754472211	0.912740480305992
CCDC149	2	3.92275225786188	0.91281613006902
CLEC7A	46	55.2230489854007	0.914793795159572
DNAH17	36	43.9865506900423	0.917290141660472
SSTR1	4	6.80241142257688	0.919919536151776
HAX1	4	6.70667708827272	0.920200186749905
DNAH2	41	49.5827940585801	0.921322238241274
OR51S1	8	11.9866327155775	0.921862640855828
